"Trial"	"Subject"	"StartPosition"	"EndPosition"	"DistToTarget"	"DistMoved"	"PressTime"	"AbsError"	"Error"	"Condition"	"Phase"	"Puck"	"Mass"
85	"KA01NS"	2.770661	6.55749195999996	2.229339	3.78683095999996	0.8599997	1.55749195999996	1.55749195999996	2	3	"FiveRings"	1.5
86	"KA01NS"	3.309361	6.58734560799997	1.690639	3.27798460799997	0.7999998	1.58734560799997	1.58734560799997	2	3	"FiveRings"	1.5
87	"KA01NS"	2.971004	6.08753344799997	2.028996	3.11652944799997	0.7799998	1.08753344799997	1.08753344799997	2	3	"FiveRings"	1.5
88	"KA01NS"	1.588765	7.33678339999994	3.411235	5.74801839999994	1.06	2.33678339999994	2.33678339999994	2	3	"FiveRings"	1.5
89	"KA01NS"	3.077458	6.35544260799997	1.922542	3.27798460799997	0.7999998	1.35544260799997	1.35544260799997	2	3	"FiveRings"	1.5
90	"KA01NS"	2.205252	7.11986799999995	2.794748	4.91461599999995	0.9799996	2.11986799999995	2.11986799999995	2	3	"FiveRings"	1.5
91	"KA01NS"	0.6228471	5.33930877999996	4.3771529	4.71646167999996	0.9599996	0.339308779999955	0.339308779999955	2	3	"FiveRings"	1.5
92	"KA01NS"	1.904319	6.05077463999996	3.095681	4.14645563999996	0.8999997	1.05077463999996	1.05077463999996	2	3	"FiveRings"	1.5
93	"KA01NS"	3.293318	5.94993796799997	1.706682	2.65661996799997	0.7199998	0.949937967999975	0.949937967999975	2	3	"FiveRings"	1.5
94	"KA01NS"	0.9927301	5.51511345999995	4.0072699	4.52238335999995	0.9399996	0.515113459999954	0.515113459999954	2	3	"FiveRings"	1.5
95	"KA01NS"	3.739066	5.46525511999998	1.260934	1.72618911999998	0.58	0.465255119999983	0.465255119999983	2	3	"FiveRings"	1.5
96	"KA01NS"	0.9882402	5.70470187999996	4.0117598	4.71646167999996	0.9599996	0.704701879999956	0.704701879999956	2	3	"FiveRings"	1.5
97	"KA01NS"	3.843285	5.12751463200001	1.156715	1.28422963200001	0.5000001	0.127514632000006	0.127514632000006	2	3	"FiveRings"	1.5
98	"KA01NS"	2.579292	6.54389729999996	2.420708	3.96460529999996	0.8799997	1.54389729999996	1.54389729999996	2	3	"FiveRings"	1.5
99	"KA01NS"	2.253441	6.77582435999995	2.746559	4.52238335999995	0.9399996	1.77582435999995	1.77582435999995	2	3	"FiveRings"	1.5
100	"KA01NS"	3.004583	6.28256760799997	1.995417	3.27798460799997	0.7999998	1.28256760799997	1.28256760799997	2	3	"FiveRings"	1.5
1	"KA01NS"	0.5843363	NA	4.4156637	NA	1.04	NA	NA	2	1	"PlainPuck"	NA
2	"KA01NS"	1.002706	NA	3.997294	NA	0.8999997	NA	NA	2	1	"PlainPuck"	NA
3	"KA01NS"	1.050114	NA	3.949886	NA	0.8199998	NA	NA	2	1	"PlainPuck"	NA
4	"KA01NS"	3.768078	NA	1.231922	NA	0.16	NA	NA	2	1	"PlainPuck"	NA
5	"KA01NS"	2.48957	NA	2.51043	NA	0.34	NA	NA	2	1	"PlainPuck"	NA
6	"KA01NS"	2.827448	NA	2.172552	NA	0.28	NA	NA	2	1	"PlainPuck"	NA
7	"KA01NS"	2.992456	NA	2.007544	NA	0.34	NA	NA	2	1	"PlainPuck"	NA
8	"KA01NS"	2.428591	NA	2.571409	NA	0.36	NA	NA	2	1	"PlainPuck"	NA
9	"KA01NS"	0.7468295	NA	4.2531705	NA	0.6	NA	NA	2	1	"PlainPuck"	NA
10	"KA01NS"	3.662825	NA	1.337175	NA	0.32	NA	NA	2	1	"PlainPuck"	NA
11	"KA01NS"	0.4136639	NA	4.5863361	NA	0.6	NA	NA	2	1	"PlainPuck"	NA
12	"KA01NS"	0.742909	NA	4.257091	NA	0.6399999	NA	NA	2	1	"PlainPuck"	NA
13	"KA01NS"	2.395762	NA	2.604238	NA	0.4600001	NA	NA	2	1	"PlainPuck"	NA
14	"KA01NS"	0.7106485	NA	4.2893515	NA	0.7999998	NA	NA	2	1	"PlainPuck"	NA
15	"KA01NS"	0.2969165	NA	4.7030835	NA	0.7399998	NA	NA	2	1	"PlainPuck"	NA
16	"KA01NS"	3.943645	NA	1.056355	NA	0.14	NA	NA	2	1	"PlainPuck"	NA
17	"KA01NS"	0.3343325	NA	4.6656675	NA	0.7599998	NA	NA	2	1	"PlainPuck"	NA
18	"KA01NS"	2.264566	NA	2.735434	NA	0.4800001	NA	NA	2	1	"PlainPuck"	NA
19	"KA01NS"	3.634836	NA	1.365164	NA	0.38	NA	NA	2	1	"PlainPuck"	NA
20	"KA01NS"	2.926272	NA	2.073728	NA	0.4600001	NA	NA	2	1	"PlainPuck"	NA
21	"KA01NS"	2.257851	NA	2.742149	NA	0.8599997	NA	NA	2	1	"PlainPuck"	NA
22	"KA01NS"	0.8835688	NA	4.1164312	NA	1.06	NA	NA	2	1	"PlainPuck"	NA
23	"KA01NS"	0.9034901	NA	4.0965099	NA	0.7999998	NA	NA	2	1	"PlainPuck"	NA
24	"KA01NS"	0.8439789	NA	4.1560211	NA	0.7799998	NA	NA	2	1	"PlainPuck"	NA
25	"KA01NS"	0.4068775	NA	4.5931225	NA	0.8399997	NA	NA	2	1	"PlainPuck"	NA
26	"KA01NS"	3.843143	NA	1.156857	NA	0.5000001	NA	NA	2	1	"PlainPuck"	NA
